City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Saskylakh,71.92,114.08,50.34,78,91,9.89,RU,1595186577
Kekri,25.97,75.15,89.15,59,100,14.05,IN,1595186641
Lüderitz,-26.65,15.16,71.6,21,0,5.82,NA,1595186641
Kahului,20.89,-156.47,86.0,55,40,23.04,US,1595186484
Teahupoo,-17.83,-149.27,78.8,69,40,3.36,PF,1595186641
Sisimiut,66.94,-53.67,54.0,67,96,4.88,GL,1595186641
Lavrentiya,65.58,-171.0,47.82,66,86,12.66,RU,1595186642
Tutóia,-2.76,-42.27,82.15,63,80,7.61,BR,1595186642
Benghazi,32.12,20.07,77.86,71,0,17.47,LY,1595186642
Pirgos,35.12,25.72,78.01,51,0,3.0,GR,1595186642
Hauknes,66.28,14.07,59.0,77,40,2.24,NO,1595186642
Tura,25.52,90.22,75.13,97,98,7.92,IN,1595186642
Port-Gentil,-0.72,8.78,75.2,88,20,14.12,GA,1595186643
Nakambala,-15.83,27.78,52.12,71,0,4.79,ZM,1595186643
Östersund,63.18,14.64,62.6,72,100,9.17,SE,1595186643
San Carlos,9.66,-68.58,84.45,72,63,3.18,VE,1595186643
Pokhara,28.23,83.98,71.78,87,100,0.76,NP,1595186643
De Aar,-30.65,24.01,46.06,42,0,1.45,ZA,1595186644
Heishan,41.69,122.11,66.94,85,90,5.23,CN,1595186644
Nampa,43.54,-116.56,84.99,30,1,6.93,US,1595186526
Libreville,0.39,9.45,78.8,78,40,9.17,GA,1595186584
Saint George,37.1,-113.58,99.0,8,1,6.46,US,1595186382
Havelock,34.88,-76.9,91.4,31,75,11.41,US,1595186644
Hualmay,-11.1,-77.61,66.18,65,80,11.16,PE,1595186644
Shelburne,44.08,-80.2,77.0,88,1,5.82,CA,1595186644
Ancud,-41.87,-73.82,51.01,100,90,6.93,CL,1595186644
Anykščiai,55.53,25.1,66.25,72,100,5.23,LT,1595186644
Abu Samrah,35.3,37.18,80.13,33,0,6.87,SY,1595186644
Dolores,-36.31,-57.68,60.84,90,100,10.76,AR,1595186645
Chumikan,54.72,135.31,52.95,95,100,10.04,RU,1595186645
Terra Roxa,-23.86,-50.03,72.0,80,5,3.0,BR,1595186645
Beisfjord,68.38,17.6,57.2,71,75,12.75,NO,1595186645
Bolobo,-2.17,16.23,78.82,52,4,2.13,CD,1595186645
Lompoc,34.64,-120.46,73.4,77,1,9.17,US,1595186406
Nanortalik,60.14,-45.24,50.92,72,0,2.04,GL,1595186407
Bogovinje,41.92,20.91,73.4,53,40,11.41,MK,1595186645
George,-33.96,22.46,50.0,100,0,4.7,ZA,1595186645
Avera,33.19,-82.53,95.0,41,1,3.36,US,1595186645
Nago,26.59,127.98,82.4,94,1,4.7,JP,1595186645
Marsh Harbour,26.54,-77.06,83.64,77,0,15.5,BS,1595186630
San Jose,37.34,-121.89,78.01,53,75,5.82,US,1595186609
Klisura,42.7,24.45,66.2,93,75,4.7,BG,1595186646
Ponta Delgada,37.73,-25.67,73.4,64,75,12.75,PT,1595186414
North Bend,43.41,-124.22,77.0,72,1,21.92,US,1595186646
Micheweni,-4.97,39.83,76.33,71,0,16.64,TZ,1595186646
Waingapu,-9.66,120.26,73.96,84,3,10.02,ID,1595186459
Mehamn,71.04,27.85,57.2,93,75,2.24,NO,1595186646
Polessk,54.86,21.1,69.8,77,100,4.47,RU,1595186646
Darnah,32.77,22.64,75.74,78,0,17.38,LY,1595186646
Gijang,35.24,129.21,78.8,88,75,20.8,KR,1595186646
Dudinka,69.41,86.18,48.2,81,100,17.9,RU,1595186646
Mayo,38.89,-76.51,95.0,58,1,9.35,US,1595186647
Ibirama,-27.06,-49.52,77.0,76,0,1.01,BR,1595186647
Dekar,-21.53,21.93,53.19,38,0,6.67,BW,1595186647
Bereda,43.27,-7.54,68.0,82,13,5.99,ES,1595186647
Ferrol,43.48,-8.24,66.2,88,40,10.29,ES,1595186647
Moanda,-1.56,13.22,78.8,78,40,3.36,GA,1595186647
Flin Flon,54.77,-101.86,71.6,40,40,5.82,CA,1595186647
Oranjestad,12.52,-70.03,89.6,66,40,21.92,AW,1595186647
Kamaishi,39.27,141.88,65.55,90,99,3.47,JP,1595186647
Mikhaylovka,50.06,43.24,62.01,71,0,1.01,RU,1595186647
Puerto Madryn,-42.77,-65.04,44.6,93,75,6.93,AR,1595186648
Ceatalchioi,45.29,28.79,71.6,56,0,3.36,RO,1595186648
Laguna,38.42,-121.42,84.99,39,1,9.17,US,1595186648
Batagay,67.63,134.63,60.24,82,100,3.13,RU,1595186648
Oussouye,12.48,-16.55,84.2,74,20,9.17,SN,1595186460
Shingū,33.73,135.98,72.1,79,100,5.17,JP,1595186648
Xingcheng,40.62,120.72,66.61,82,56,6.17,CN,1595186648
Zhezkazgan,47.8,67.71,73.4,49,40,8.95,KZ,1595186648
Celestún,20.87,-90.4,84.49,71,26,7.96,MX,1595186423
Karachi,24.91,67.08,86.0,79,75,11.41,PK,1595186407
Mpanda,-6.37,31.04,62.08,61,0,1.59,TZ,1595186648
Kuytun,54.34,101.5,43.41,82,0,1.32,RU,1595186648
Weiser,44.25,-116.97,87.8,22,1,4.7,US,1595186649
Priargunsk,50.37,119.1,54.7,89,80,11.45,RU,1595186649
Kieta,-6.22,155.63,76.82,77,4,4.41,PG,1595186398
Fortuna,40.6,-124.16,64.4,72,20,11.41,US,1595186649
San Policarpo,12.18,125.51,81.19,77,2,2.21,PH,1595186649
Kushtagi,15.77,76.2,74.46,86,100,15.97,IN,1595186649
Guerrero Negro,27.98,-114.06,78.69,57,2,14.56,MX,1595186649
Touros,-5.2,-35.46,82.4,69,40,12.75,BR,1595186527
Bonavista,48.65,-53.11,64.0,67,68,10.98,CA,1595186404
Aswān,24.09,32.91,93.87,15,10,9.71,EG,1595186649
Mossamedes,-15.2,12.15,69.04,72,0,6.31,AO,1595186650
Madang,-5.22,145.8,75.42,89,33,2.53,PG,1595186650
Sīrjān,29.45,55.68,79.07,16,0,14.07,IR,1595186650
Departamento de Maldonado,-34.67,-54.92,75.99,69,100,2.24,UY,1595186414
Anadyr,64.75,177.48,48.2,70,0,4.47,RU,1595186650
Catalina,32.51,-110.92,100.0,18,8,7.0,US,1595186650
Mangai,-4.05,19.53,75.02,36,0,1.21,CD,1595186650
Santa Fe,-31.63,-60.7,81.7,47,95,8.9,AR,1595186464
Jiménez,28.33,-105.4,89.6,31,40,12.75,MX,1595186650
Alamogordo,32.9,-105.96,91.4,26,27,5.82,US,1595186650
Mokhsogollokh,61.47,128.92,62.73,96,0,3.65,RU,1595186650
Anchorage,61.22,-149.9,61.0,72,90,5.82,US,1595186410
Lisbon,38.72,-9.13,77.0,60,0,10.29,PT,1595186552
Ust'-Koksa,50.27,85.61,59.16,74,81,0.04,RU,1595186651
Cap-aux-Meules,47.38,-61.86,75.2,69,20,10.29,CA,1595186651
Svobodnyy,51.4,128.13,67.06,94,100,7.38,RU,1595186651
Santa Cruz,30.42,-9.6,82.4,58,0,12.75,MA,1595186651
Pointe Michel,15.25,-61.38,87.8,74,40,4.7,DM,1595186651
Kruisfontein,-34.0,24.73,52.45,81,0,3.87,ZA,1595186651
Bairiki Village,1.33,172.98,82.4,74,20,8.05,KI,1595186651
Gali,42.63,41.74,71.76,90,0,0.25,GE,1595186651
Saint-Junien,45.88,0.9,84.0,34,0,3.36,FR,1595186651
Caraballeda,10.61,-66.85,79.0,68,27,4.76,VE,1595186651
Mount Isa,-20.73,139.5,60.8,18,0,10.29,AU,1595186651
Humenné,48.94,21.92,62.6,93,98,8.05,SK,1595186652
Alcúdia,39.85,3.12,80.01,65,0,6.93,ES,1595186652
Zhigalovo,54.81,105.16,43.21,88,0,2.51,RU,1595186652
São Filipe,14.9,-24.5,77.49,78,100,5.95,CV,1595186652
Mezhova,48.25,36.73,65.93,73,0,8.32,UA,1595186652
Pevek,69.7,170.31,45.86,59,0,2.57,RU,1595186603
Beringovskiy,63.05,179.32,45.18,85,69,10.94,RU,1595186415
Henties Bay,-22.12,14.28,68.16,31,0,11.03,NA,1595186652
Atbasar,51.8,68.33,71.31,46,96,6.42,KZ,1595186652
Vitim,59.45,112.56,53.67,76,100,1.86,RU,1595186652
Wukari,7.85,9.78,74.82,92,78,5.97,NG,1595186652
Whangarei,-35.73,174.32,55.99,3,59,4.74,NZ,1595186652
Dhidhdhoo,6.88,73.1,80.53,82,99,19.24,MV,1595186653
Baripāda,21.93,86.72,84.27,74,100,8.7,IN,1595186653
Quang Ngai,15.12,108.8,78.1,88,100,5.35,VN,1595186653
Havøysund,71.0,24.66,57.2,76,100,4.7,NO,1595186653
Nakhon Nayok,14.2,101.21,86.0,100,99,4.25,TH,1595186653
Ko Samui,9.54,99.94,84.47,72,100,3.78,TH,1595186653
Blythe,33.61,-114.6,107.6,9,40,6.93,US,1595186653
Verkhoyansk,67.54,133.38,60.55,79,100,4.25,RU,1595186653
Lungi,9.22,-12.68,75.04,94,100,7.05,SL,1595186654
Pombia,45.65,8.63,82.0,54,1,3.36,IT,1595186654
Flinders,-34.58,150.86,55.0,57,0,8.99,AU,1595186429
Sørland,67.67,12.69,59.0,77,11,9.17,NO,1595186396
Makkah al Mukarramah,21.43,39.83,84.7,40,1,5.14,SA,1595186654
Moroni,-11.7,43.26,75.2,69,20,2.24,KM,1595186654
College,64.86,-147.8,62.6,77,75,3.36,US,1595186654
Tessalit,20.2,1.01,93.25,27,0,10.87,ML,1595186425
Abilene,32.45,-99.73,93.99,41,40,14.99,US,1595186654
Souillac,-20.52,57.52,69.8,60,40,14.99,MU,1595186654
Boyolangu,-8.12,111.89,73.47,90,31,4.16,ID,1595186654
Moba,33.23,105.02,53.2,89,0,2.48,CN,1595186654
Mabaruma,8.2,-59.78,85.37,72,19,6.02,GY,1595186655
Sur,22.57,59.53,86.32,75,67,15.99,OM,1595186655
Amarante do Maranhão,-5.57,-46.74,90.12,36,31,6.22,BR,1595186655
San Patricio,19.22,-104.7,89.6,70,20,11.41,MX,1595186655
Coahuayana Viejo,18.73,-103.68,86.0,62,40,5.48,MX,1595186655
Mackay,-21.15,149.2,55.4,93,75,5.82,AU,1595186422
Cantaura,9.31,-64.36,87.93,58,82,6.31,VE,1595186655
Olafsvik,64.89,-23.71,49.1,72,1,7.2,IS,1595186427
Kashipur,29.22,78.95,84.07,78,0,9.71,IN,1595186655
Yumen,40.28,97.2,74.98,19,94,6.33,CN,1595186655
Vehari,30.03,72.35,101.91,35,0,19.93,PK,1595186655
Isangel,-19.55,169.27,68.0,67,0,5.79,VU,1595186655
Ugleural'skiy,58.95,57.58,72.0,46,100,4.0,RU,1595186656
Chapada dos Guimarães,-15.46,-55.75,95.0,17,0,6.93,BR,1595186656
Cidreira,-30.18,-50.21,72.05,69,100,10.31,BR,1595186656
Río Gallegos,-51.62,-69.22,35.6,64,40,2.24,AR,1595186656
Sayyan,15.17,44.32,66.69,46,100,0.11,YE,1595186656
Ciudad del Carmen,18.63,-91.83,89.6,62,20,8.05,MX,1595186543
Khomeyn,33.64,50.08,76.59,21,41,7.78,IR,1595186656
Fairbanks,64.84,-147.72,62.6,82,75,5.82,US,1595186417
Coyhaique,-45.58,-72.07,33.8,86,90,2.24,CL,1595186656
Agadez,19.75,10.25,93.52,13,0,4.94,NE,1595186656
Santa Rosa,14.31,121.11,80.01,84,94,5.01,PH,1595186657
Kandrian,-6.22,149.55,77.11,89,43,7.23,PG,1595186657
Brigg,53.55,-0.49,61.0,72,60,6.93,GB,1595186657
Tornio,65.85,24.15,64.4,72,76,10.29,FI,1595186657
Banda Aceh,5.56,95.32,80.17,79,100,3.94,ID,1595186657
Bar Harbor,44.39,-68.2,77.0,69,1,11.41,US,1595186657
Yagodnoye,62.55,149.67,57.4,71,0,0.11,RU,1595186657
Kirakira,-10.45,161.92,78.15,85,23,7.76,SB,1595186657
Khalkhāl,37.62,48.53,71.62,48,20,5.55,IR,1595186657
Am Timan,11.03,20.28,74.41,90,100,6.31,TD,1595186657
Oxelösund,58.67,17.1,69.8,64,100,8.05,SE,1595186658
Ugoofaaru,5.67,73.0,80.06,81,100,26.04,MV,1595186658
Sola,-13.88,167.55,77.0,94,90,5.82,VU,1595186658
Esim,4.87,-2.24,75.83,89,94,8.16,GH,1595186658
Margate,51.38,1.39,60.01,86,100,1.01,GB,1595186658
Nchelenge,-9.35,28.73,65.41,53,0,5.57,ZM,1595186658
Maniitsoq,65.42,-52.9,49.46,82,100,3.2,GL,1595186658
Ahipara,-35.17,173.17,55.56,91,42,6.89,NZ,1595186659
Yaan,7.38,8.57,72.68,95,74,7.2,NG,1595186659
Pacific Grove,36.62,-121.92,71.01,72,75,9.17,US,1595186511
Saint-François,46.42,3.91,80.6,44,5,1.12,FR,1595186659
Stornoway,58.21,-6.39,55.99,71,4,10.29,GB,1595186659
Nishihara,26.18,127.76,82.4,83,20,5.82,JP,1595186659
Farkhor,37.49,69.4,82.4,36,20,2.24,TJ,1595186659
Sozimskiy,59.74,52.25,65.03,70,82,8.23,RU,1595186659
Jacareacanga,-6.22,-57.75,95.86,29,61,4.16,BR,1595186659
Puerto del Rosario,28.5,-13.86,91.4,33,0,16.11,ES,1595186659
Ambunti,-4.24,142.84,71.2,99,38,0.69,PG,1595186660
Pinega,64.7,43.39,60.21,56,0,3.2,RU,1595186660
Salihorsk,52.79,27.54,63.01,78,99,5.88,BY,1595186660
Meulaboh,4.14,96.13,78.91,86,100,3.74,ID,1595186660
Namatanai,-3.67,152.43,78.53,78,7,4.52,PG,1595186660
Linxia Chengguanzhen,35.6,103.21,55.53,60,0,3.71,CN,1595186660
Mianyang,31.46,104.75,75.65,65,100,1.59,CN,1595186660
Yatou,37.15,122.38,69.67,93,100,10.0,CN,1595186660
Xapuri,-10.65,-68.5,92.82,36,100,3.36,BR,1595186660
Quatre Cocos,-20.21,57.76,70.0,60,40,14.99,MU,1595186660
Gizo Government Station,-8.1,156.84,80.15,76,5,3.11,SB,1595186660
Máncora,-4.11,-81.05,75.18,59,7,14.63,PE,1595186661
Hyères,43.12,6.12,75.0,71,0,1.99,FR,1595186661
Korla,41.76,86.15,73.99,95,100,5.48,CN,1595186661
Belyy Yar,53.6,91.39,55.4,71,0,2.86,RU,1595186661
Puerto Cabezas,14.04,-83.39,87.8,62,75,6.93,NI,1595186661
Sisophon,13.59,102.97,78.49,89,100,5.48,KH,1595186661
Storforshei,66.4,14.52,59.0,77,40,2.24,NO,1595186661
La Seyne-sur-Mer,43.1,5.88,75.99,75,0,5.01,FR,1595186661
Petropavlovsk-Kamchatskiy,53.05,158.65,50.0,100,20,6.71,RU,1595186398
Lago da Pedra,-4.33,-45.17,88.5,49,79,4.07,BR,1595186661
Melfi,41.0,15.65,77.0,38,5,11.41,IT,1595186661
Bandung,-6.9,107.62,67.89,88,36,3.4,ID,1595186661
Port Macquarie,-31.43,152.92,45.0,97,0,5.77,AU,1595186425
Nuuk,64.18,-51.72,59.0,44,100,11.41,GL,1595186662
Zelenchukskaya,43.86,41.59,66.63,83,0,4.03,RU,1595186662
Alice Springs,-23.7,133.88,50.0,53,100,5.82,AU,1595186478
Portobelo,9.55,-79.65,86.0,74,100,8.01,PA,1595186662
Oyama,36.3,139.8,79.0,94,40,2.62,JP,1595186662
Takoradze,4.88,-1.76,75.6,89,52,8.86,GH,1595186662
Susaki,33.37,133.28,74.7,87,95,2.15,JP,1595186662
Juli,-16.22,-69.45,53.89,38,73,9.35,PE,1595186662
Tromsø,69.65,18.96,57.2,71,100,6.93,NO,1595186603
Naze,28.37,129.48,80.6,94,40,4.7,JP,1595186662
La Asuncion,11.03,-63.86,77.0,88,0,13.87,VE,1595186662
Puerto Escondido,15.85,-97.07,87.8,62,90,5.82,MX,1595186663
Oodweyne,9.41,45.06,72.64,55,0,24.18,SO,1595186663
Dipalpur,30.67,73.65,96.57,40,15,3.53,PK,1595186663
Ulu-Telyak,54.91,56.97,65.52,96,86,4.32,RU,1595186663
Xichang,27.9,102.26,66.42,81,100,1.92,CN,1595186464
Tūkrah,32.53,20.58,76.44,73,0,13.91,LY,1595186663
Praia,14.92,-23.51,84.2,62,20,6.93,CV,1595186663
Tadine,-21.55,167.88,68.02,78,0,11.43,NC,1595186663
Duluth,46.78,-92.11,80.01,41,40,27.51,US,1595186504
Allanridge,-27.75,26.64,52.7,30,0,3.06,ZA,1595186663
Sokoni,-6.43,39.55,75.2,78,20,10.29,TZ,1595186663
Saint Anthony,45.02,-93.22,82.99,37,20,20.8,US,1595186664
Verkhnyaya Sinyachikha,57.98,61.67,63.79,96,100,4.56,RU,1595186664
Staunton,38.15,-79.07,91.99,49,1,5.82,US,1595186664
Bocas del Toro,9.33,-82.25,73.0,62,96,1.99,PA,1595186664
Fort-Shevchenko,44.51,50.26,84.72,45,0,15.88,KZ,1595186664
Woodward,36.43,-99.39,97.0,36,1,6.93,US,1595186664
Aktau,43.65,51.2,80.6,26,0,8.95,KZ,1595186664
Freetown,8.48,-13.23,76.98,83,100,10.02,SL,1595186664
Broome,42.25,-75.83,93.0,43,40,16.11,US,1595186664
Necochea,-38.55,-58.74,54.0,92,3,10.0,AR,1595186440
Samarai,-10.62,150.67,76.26,85,100,13.58,PG,1595186665
Zliten,32.47,14.57,76.39,76,0,10.38,LY,1595186665
Tambopata,-12.73,-69.18,89.6,59,40,6.93,PE,1595186665
Conde,-7.26,-34.91,80.6,78,20,13.87,BR,1595186665
Santa Maria,-29.68,-53.81,86.0,42,3,14.99,BR,1595186665
Champerico,14.3,-91.92,91.4,63,20,6.93,GT,1595186665
Talaya,61.38,152.75,54.54,74,86,3.56,RU,1595186665
Nyimba,-14.56,30.81,63.16,60,0,10.87,ZM,1595186665
Sinjai,-5.12,120.25,75.88,88,99,3.87,ID,1595186665
Dunmore Town,25.5,-76.65,83.35,80,0,17.09,BS,1595186665
Edéa,3.8,10.13,75.2,100,75,6.93,CM,1595186665
Sembakung,3.82,117.25,73.71,97,100,2.06,ID,1595186665
Glenwood Springs,39.55,-107.32,91.4,15,1,6.93,US,1595186418
Dingle,11.0,122.67,74.86,85,100,2.15,PH,1595186666
Pochutla,15.74,-96.47,93.2,52,90,6.69,MX,1595186666
Vila Franca do Campo,37.72,-25.43,73.4,64,75,12.75,PT,1595186666
Haines Junction,60.75,-137.51,61.3,50,84,6.08,CA,1595186400
Aksarka,66.56,67.8,47.95,83,0,9.24,RU,1595186666
Inta,66.03,60.17,52.47,89,0,8.5,RU,1595186666
Kuvshinovo,57.03,34.17,58.82,82,100,1.9,RU,1595186666
Chicama,-7.84,-79.15,71.8,56,10,11.45,PE,1595186666
Husavik,66.04,-17.34,50.0,71,40,10.29,IS,1595186666
Nacozari,25.34,-108.26,97.0,49,36,7.0,MX,1595186666
Iwanai,42.97,140.51,64.15,90,97,2.26,JP,1595186667
Gushikawa,26.35,127.87,82.4,94,1,4.7,JP,1595186667
Culebra,18.3,-65.3,89.6,59,20,13.87,PR,1595186667
Srostki,52.42,85.7,58.42,84,99,2.64,RU,1595186667
Muros,42.78,-9.06,69.01,79,0,7.0,ES,1595186667
